Timestamp (IST),Travel Duration
2025-02-19 23:57:09,29 mins
2025-02-20 08:33:02,42 mins
2025-02-20 09:07:31,48 mins
2025-02-20 09:10:56,48 mins
2025-02-20 09:19:29,45 mins
2025-02-20 09:28:15,46 mins
2025-02-20 10:07:26,44 mins
2025-02-20 10:16:33,46 mins
2025-02-20 10:25:34,44 mins
2025-02-20 10:50:05,47 mins
2025-02-20 11:02:50,47 mins
2025-02-20 11:11:56,47 mins
2025-02-20 11:20:44,48 mins
2025-02-20 11:29:26,50 mins
2025-02-20 12:13:36,50 mins
2025-02-20 12:22:19,49 mins
2025-02-20 12:55:26,47 mins
2025-02-20 16:08:42,45 mins
2025-02-20 16:18:31,45 mins
2025-02-20 16:28:27,47 mins
2025-02-20 16:54:30,50 mins
2025-02-20 17:07:30,51 mins
2025-02-20 17:17:28,49 mins
2025-02-20 17:27:16,48 mins
2025-02-20 18:34:46,51 mins
2025-02-20 19:07:58,51 mins
2025-02-20 19:18:14,54 mins
2025-02-20 19:27:58,51 mins
2025-02-20 20:07:28,44 mins
